Project,Metric,Period,Value
sleuth,LEAD_TIME,2021-09-22,42040.0
sleuth,LEAD_TIME,2021-09-23,56400.0
sleuth,LEAD_TIME,2021-09-24,42819.0
sleuth,LEAD_TIME,2021-09-25,0.0
sleuth,LEAD_TIME,2021-09-26,0.0
sleuth,LEAD_TIME,2021-09-27,214317.0
sleuth,LEAD_TIME,2021-09-28,45495.0
sleuth,LEAD_TIME,2021-09-29,32196.0
sleuth,LEAD_TIME,2021-09-30,46287.0
sleuth,LEAD_TIME,2021-10-01,32528.0
sleuth,LEAD_TIME,2021-10-02,0.0
sleuth,LEAD_TIME,2021-10-03,0.0
sleuth,LEAD_TIME,2021-10-04,171092.0
sleuth,LEAD_TIME,2021-10-05,57459.0
sleuth,LEAD_TIME,2021-10-06,32549.0
sleuth,FREQUENCY,2021-09-22,10.0
sleuth,FREQUENCY,2021-09-23,5.0
sleuth,FREQUENCY,2021-09-24,7.0
sleuth,FREQUENCY,2021-09-25,0.0
sleuth,FREQUENCY,2021-09-26,0.0
sleuth,FREQUENCY,2021-09-27,5.0
sleuth,FREQUENCY,2021-09-28,10.0
sleuth,FREQUENCY,2021-09-29,7.0
sleuth,FREQUENCY,2021-09-30,9.0
sleuth,FREQUENCY,2021-10-01,8.0
sleuth,FREQUENCY,2021-10-02,0.0
sleuth,FREQUENCY,2021-10-03,0.0
sleuth,FREQUENCY,2021-10-04,4.0
sleuth,FREQUENCY,2021-10-05,11.0
sleuth,FREQUENCY,2021-10-06,11.0
sleuth,FAILURE_RATE,2021-09-22,1.0
sleuth,FAILURE_RATE,2021-09-23,4.0
sleuth,FAILURE_RATE,2021-09-24,0.0
sleuth,FAILURE_RATE,2021-09-25,0.0
sleuth,FAILURE_RATE,2021-09-26,0.0
sleuth,FAILURE_RATE,2021-09-27,0.0
sleuth,FAILURE_RATE,2021-09-28,1.0
sleuth,FAILURE_RATE,2021-09-29,0.0
sleuth,FAILURE_RATE,2021-09-30,0.0
sleuth,FAILURE_RATE,2021-10-01,0.0
sleuth,FAILURE_RATE,2021-10-02,0.0
sleuth,FAILURE_RATE,2021-10-03,0.0
sleuth,FAILURE_RATE,2021-10-04,0.0
sleuth,FAILURE_RATE,2021-10-05,0.0
sleuth,FAILURE_RATE,2021-10-06,0.0
sleuth,MTTR,2021-09-22,454.0
sleuth,MTTR,2021-09-23,1513.0
sleuth,MTTR,2021-09-24,0.0
sleuth,MTTR,2021-09-25,0.0
sleuth,MTTR,2021-09-26,0.0
sleuth,MTTR,2021-09-27,0.0
sleuth,MTTR,2021-09-28,600.0
sleuth,MTTR,2021-09-29,0.0
sleuth,MTTR,2021-09-30,0.0
sleuth,MTTR,2021-10-01,0.0
sleuth,MTTR,2021-10-02,0.0
sleuth,MTTR,2021-10-03,0.0
sleuth,MTTR,2021-10-04,0.0
sleuth,MTTR,2021-10-05,0.0
sleuth,MTTR,2021-10-06,0.0
test deploys,LEAD_TIME,2021-09-22,0.0
test deploys,LEAD_TIME,2021-09-23,0.0
test deploys,LEAD_TIME,2021-09-24,0.0
test deploys,LEAD_TIME,2021-09-25,0.0
test deploys,LEAD_TIME,2021-09-26,0.0
test deploys,LEAD_TIME,2021-09-27,0.0
test deploys,LEAD_TIME,2021-09-28,0.0
test deploys,LEAD_TIME,2021-09-29,0.0
test deploys,LEAD_TIME,2021-09-30,0.0
test deploys,LEAD_TIME,2021-10-01,0.0
test deploys,LEAD_TIME,2021-10-02,0.0
test deploys,LEAD_TIME,2021-10-03,0.0
test deploys,LEAD_TIME,2021-10-04,0.0
test deploys,LEAD_TIME,2021-10-05,0.0
test deploys,LEAD_TIME,2021-10-06,0.0
test deploys,FREQUENCY,2021-09-22,0.0
test deploys,FREQUENCY,2021-09-23,0.0
test deploys,FREQUENCY,2021-09-24,0.0
test deploys,FREQUENCY,2021-09-25,0.0
test deploys,FREQUENCY,2021-09-26,0.0
test deploys,FREQUENCY,2021-09-27,0.0
test deploys,FREQUENCY,2021-09-28,0.0
test deploys,FREQUENCY,2021-09-29,0.0
test deploys,FREQUENCY,2021-09-30,0.0
test deploys,FREQUENCY,2021-10-01,0.0
test deploys,FREQUENCY,2021-10-02,0.0
test deploys,FREQUENCY,2021-10-03,0.0
test deploys,FREQUENCY,2021-10-04,0.0
test deploys,FREQUENCY,2021-10-05,0.0
test deploys,FREQUENCY,2021-10-06,0.0
test deploys,FAILURE_RATE,2021-09-22,0.0
test deploys,FAILURE_RATE,2021-09-23,0.0
test deploys,FAILURE_RATE,2021-09-24,0.0
test deploys,FAILURE_RATE,2021-09-25,0.0
test deploys,FAILURE_RATE,2021-09-26,0.0
test deploys,FAILURE_RATE,2021-09-27,0.0
test deploys,FAILURE_RATE,2021-09-28,0.0
test deploys,FAILURE_RATE,2021-09-29,0.0
test deploys,FAILURE_RATE,2021-09-30,0.0
test deploys,FAILURE_RATE,2021-10-01,0.0
test deploys,FAILURE_RATE,2021-10-02,0.0
test deploys,FAILURE_RATE,2021-10-03,0.0
test deploys,FAILURE_RATE,2021-10-04,0.0
test deploys,FAILURE_RATE,2021-10-05,0.0
test deploys,FAILURE_RATE,2021-10-06,0.0
test deploys,MTTR,2021-09-22,0.0
test deploys,MTTR,2021-09-23,0.0
test deploys,MTTR,2021-09-24,0.0
test deploys,MTTR,2021-09-25,0.0
test deploys,MTTR,2021-09-26,0.0
test deploys,MTTR,2021-09-27,0.0
test deploys,MTTR,2021-09-28,0.0
test deploys,MTTR,2021-09-29,0.0
test deploys,MTTR,2021-09-30,0.0
test deploys,MTTR,2021-10-01,0.0
test deploys,MTTR,2021-10-02,0.0
test deploys,MTTR,2021-10-03,0.0
test deploys,MTTR,2021-10-04,0.0
test deploys,MTTR,2021-10-05,0.0
test deploys,MTTR,2021-10-06,0.0
